iter	Passed	Remaining
0	4	471
1	12	597
2	14	475
3	16	399
4	19	361
5	20	327
6	23	307
7	25	291
8	27	273
9	28	256
10	30	243
11	31	232
12	33	221
13	34	211
14	35	203
15	39	207
16	40	199
17	42	193
18	43	187
19	45	183
20	47	179
21	49	176
22	51	171
23	53	169
24	55	166
25	56	162
26	58	157
27	59	154
28	61	150
29	62	146
30	64	143
31	66	140
32	69	140
33	70	137
34	72	134
35	74	131
36	75	128
37	77	125
38	78	122
39	79	119
40	81	117
41	82	114
42	84	112
43	86	109
44	87	106
45	89	104
46	90	102
47	92	99
48	93	97
49	94	94
50	98	94
51	99	92
52	101	89
53	102	87
54	103	84
55	105	82
56	106	80
57	108	78
58	109	76
59	111	74
60	113	72
61	114	70
62	116	68
63	117	66
64	119	64
65	121	62
66	122	60
67	123	58
68	125	56
69	128	55
70	129	53
71	131	51
72	133	49
73	135	47
74	136	45
75	137	43
76	139	41
77	141	39
78	143	38
79	145	36
80	146	34
81	147	32
82	149	30
83	150	28
84	152	26
85	153	25
86	157	23
87	158	21
88	160	19
89	162	18
90	163	16
91	164	14
92	166	12
93	167	10
94	169	8
95	171	7
96	173	5
97	175	3
98	176	1
99	177	0
